Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longtitude,altitude,utm_easting,utm_northing,zone,letter
1695860108.341252,1,151741,0,GPS1_Frame,42.337174000000005,71.08642083333334,71.6,671880.8238280108,4689321.565056168,42,T
1695860116.3491616,2,151742,0,GPS1_Frame,42.337176,71.08642233333333,71.3,671880.9419551413,4689321.790172966,42,T
1695860124.3605711,3,151743,0,GPS1_Frame,42.337169499999995,71.08642083333334,73.3,671880.8360884563,4689321.06536554,42,T
1695860132.3708997,4,151744,0,GPS1_Frame,42.33716033333334,71.08641816666666,76.2,671880.6413723298,4689320.042086875,42,T
1695860140.3830457,5,151745,0,GPS1_Frame,42.33715316666667,71.0864165,78.5,671880.5235912361,4689319.242914319,42,T
1695860148.3947945,6,151746,0,GPS1_Frame,42.3371455,71.0864145,81.1,671880.3797109837,4689318.3875467945,42,T
1695860156.4060001,7,151747,0,GPS1_Frame,42.337134,71.08641283333333,85.1,671880.2737361215,4689317.107190681,42,T
1695860164.418552,8,151748,0,GPS1_Frame,42.337128833333324,71.08641333333334,87.0,671880.3290049662,4689316.534482505,42,T
1695860172.4288428,9,151749,0,GPS1_Frame,42.337123000000005,71.08641333333334,89.1,671880.3448980651,4689315.886735403,42,T
1695860180.439277,10,151750,0,GPS1_Frame,42.33711483333333,71.08641283333333,92.3,671880.3259562893,4689314.978878768,42,T
1695860188.4507215,11,151751,0,GPS1_Frame,42.33711,71.08641333333334,94.2,671880.3803169647,4689314.443184717,42,T
1695860196.4609063,12,151752,0,GPS1_Frame,42.33710316666667,71.08641166666666,96.7,671880.2616275211,4689313.681026295,42,T
1695860204.4702947,13,151753,0,GPS1_Frame,42.33709650000001,71.08640883333334,99.0,671880.0463690041,4689312.935016671,42,T
1695860212.48204,14,151754,0,GPS1_Frame,42.3370915,71.08640650000001,100.9,671879.8677616953,4689312.375088339,42,T
1695860220.493,15,151755,0,GPS1_Frame,42.337086666666664,71.08640483333333,102.6,671879.74362311,4689311.835014651,42,T
1695860228.5042784,16,151756,0,GPS1_Frame,42.337082833333334,71.08640433333333,104.2,671879.7128749614,4689311.408341589,42,T
1695860236.516082,17,151757,0,GPS1_Frame,42.33707666666666,71.0864025,106.4,671879.5786383157,4689310.719874532,42,T
1695860244.5277078,18,151758,0,GPS1_Frame,42.337076333333336,71.0864025,106.7,671879.5795464872,4689310.682860412,42,T
1695860252.5372298,19,151759,0,GPS1_Frame,42.33706633333333,71.086397,109.5,671879.1536780482,4689309.561319321,42,T
1695860260.548454,20,151800,0,GPS1_Frame,42.33706133333333,71.08639216666667,110.9,671878.7691098279,4689308.996337631,42,T
1695860268.5587249,21,151801,0,GPS1_Frame,42.33705583333334,71.08638933333333,112.3,671878.5506723927,4689308.379877485,42,T
1695860276.5702803,22,151802,0,GPS1_Frame,42.33705616666666,71.08639033333334,112.3,671878.6321485282,4689308.4189129565,42,T
1695860284.5811272,23,151803,0,GPS1_Frame,42.33705166666667,71.08638666666667,113.2,671878.3423329764,4689307.9118107185,42,T
1695860292.5922854,24,151804,0,GPS1_Frame,42.33704683333334,71.08638383333333,114.3,671878.1220791354,4689307.36937883,42,T
1695860300.6020393,25,151805,0,GPS1_Frame,42.337043166666675,71.086381,115.1,671877.8986466941,4689306.956496369,42,T
1695860308.611666,26,151806,0,GPS1_Frame,42.33703683333333,71.08637833333334,116.8,671877.6962102274,4689306.247837845,42,T
1695860316.6211348,27,151807,0,GPS1_Frame,42.337034499999994,71.08637916666666,117.2,671877.7712209551,4689305.990423459,42,T
1695860324.633089,28,151808,0,GPS1_Frame,42.33703166666666,71.08637783333333,117.9,671877.6690945434,4689305.673108322,42,T
1695860332.6436272,29,151809,0,GPS1_Frame,42.337030166666665,71.0863795,118.3,671877.8104884885,4689305.509913688,42,T
1695860340.6531787,30,151810,0,GPS1_Frame,42.33702783333333,71.08638183333333,119.1,671878.0090757341,4689305.255531317,42,T
1695860348.665431,31,151811,0,GPS1_Frame,42.337024500000005,71.08638216666667,120.1,671878.0456187967,4689304.886063904,42,T
1695860356.6767137,32,151812,0,GPS1_Frame,42.33702100000001,71.08637999999999,121.1,671877.8766550767,4689304.49303607,42,T
1695860364.687444,33,151813,0,GPS1_Frame,42.33701816666667,71.08637566666667,121.9,671877.5273755912,4689304.169656908,42,T
1695860372.7005012,34,151814,0,GPS1_Frame,42.33701733333334,71.08637683333333,122.4,671877.6257610646,4689304.079479841,42,T
1695860380.7108786,35,151815,0,GPS1_Frame,42.33701516666667,71.08637483333334,123.0,671877.466895393,4689303.834845385,42,T
