Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longtitude,altitude,utm_easting,utm_northing,zone,letter
1695870397.4798791,1,152903,0,GPS1_Frame,42.33714516666667,71.086258,94.0,671867.4874943737,4689318.0341990255,42,T
1695870405.4885678,2,152904,0,GPS1_Frame,42.33715183333334,71.08625966666666,92.9,671867.606639135,4689318.777850135,42,T
1695870413.4999628,3,152905,0,GPS1_Frame,42.33715983333333,71.086255,91.3,671867.2003850456,4689319.656756634,42,T
1695870421.5077813,4,152906,0,GPS1_Frame,42.337168000000005,71.0862475,89.8,671866.5602552291,4689320.548443435,42,T
1695870429.5191462,5,152907,0,GPS1_Frame,42.337176500000005,71.08624,88.8,671865.9192174672,4689321.477144409,42,T
1695870437.5304568,6,152908,0,GPS1_Frame,42.33718466666666,71.08623383333334,87.4,671865.3889334744,4689322.371526253,42,T
1695870445.541361,7,152909,0,GPS1_Frame,42.33719599999999,71.08622816666666,86.0,671864.8912147466,4689323.618552876,42,T
1695870453.5531096,8,152910,0,GPS1_Frame,42.33720816666667,71.08622033333333,84.8,671864.2127270538,4689324.953735587,42,T
1695870461.5640292,9,152911,0,GPS1_Frame,42.337220333333335,71.08621366666667,83.1,671863.6303543706,4689326.291276405,42,T
1695870469.5745084,10,152912,0,GPS1_Frame,42.33723283333334,71.08620933333333,81.1,671863.2393032946,4689327.670547468,42,T
1695870477.5859873,11,152913,0,GPS1_Frame,42.33724533333334,71.08620233333333,79.6,671862.6285615461,4689329.044428755,42,T
1695870485.596895,12,152914,0,GPS1_Frame,42.33725333333334,71.08619366666667,79.0,671861.892772422,4689329.915250856,42,T
1695870493.607375,13,152915,0,GPS1_Frame,42.337259833333334,71.08618683333334,78.7,671861.312107229,4689330.623214943,42,T
1695870501.6179612,14,152916,0,GPS1_Frame,42.337269166666665,71.086182,78.3,671860.8884915288,4689331.649841403,42,T
1695870509.6290178,15,152917,0,GPS1_Frame,42.337276833333334,71.086176,78.1,671860.373301651,4689332.489039277,42,T
1695870517.640145,16,152918,0,GPS1_Frame,42.33728516666667,71.08616950000001,78.0,671859.8151037394,4689333.401254859,42,T
1695870525.652249,17,152919,0,GPS1_Frame,42.33729483333333,71.08616483333334,76.9,671859.4043109934,4689334.465232377,42,T
1695870533.6632137,18,152920,0,GPS1_Frame,42.337304833333334,71.0861585,75.3,671858.8553036654,4689335.562855489,42,T
1695870541.6742003,19,152921,0,GPS1_Frame,42.33731066666666,71.0861465,75.1,671857.8508048537,4689336.186349109,42,T
1695870549.685612,20,152922,0,GPS1_Frame,42.33731533333333,71.08612983333335,74.6,671856.4650259498,4689336.670861627,42,T
1695870557.6968675,21,152923,0,GPS1_Frame,42.33731983333334,71.08611816666667,74.3,671855.4916210421,4689337.146972796,42,T
1695870565.707257,22,152924,0,GPS1_Frame,42.33732333333334,71.08611033333334,74.6,671854.8367455573,4689337.519789215,42,T
1695870573.7182465,23,152925,0,GPS1_Frame,42.33732150000001,71.08609616666666,75.4,671853.6746338329,4689337.287579634,42,T
1695870581.7252471,24,152926,0,GPS1_Frame,42.33732233333333,71.08607950000001,75.4,671852.299297875,4689337.346430578,42,T
1695870589.7361355,25,152927,0,GPS1_Frame,42.33732633333334,71.08606616666665,75.9,671851.1899488411,4689337.763652731,42,T
1695870597.746373,26,152928,0,GPS1_Frame,42.33733,71.08605833333333,76.1,671850.5346196485,4689338.154976603,42,T
1695870605.7570121,27,152929,0,GPS1_Frame,42.33733666666667,71.08604416666667,75.5,671849.3493534212,4689338.866627811,42,T
1695870613.7681973,28,152930,0,GPS1_Frame,42.33734266666667,71.08602583333332,75.5,671847.8226371151,4689339.495830125,42,T
1695870621.7773883,29,152931,0,GPS1_Frame,42.33734733333334,71.08601466666667,75.2,671846.8899711967,4689339.991460023,42,T
1695870629.7856357,30,152932,0,GPS1_Frame,42.33735733333333,71.08601133333333,74.5,671846.5881179573,4689341.095147011,42,T
1695870637.7943256,31,152933,0,GPS1_Frame,42.33736433333333,71.08599933333333,73.8,671845.5804430809,4689341.848191762,42,T
1695870645.8062913,32,152934,0,GPS1_Frame,42.33737133333334,71.08598566666666,73.1,671844.4354619433,4689342.597868382,42,T
1695870653.8162396,33,152935,0,GPS1_Frame,42.33737666666666,71.0859715,72.9,671843.2538290634,4689343.1614641035,42,T
